"","Name","Platform","Year_of_Release","Genre","Publisher","Global_Sales","Critic_Score","User_Score","Developer"
"1209","Wolfenstein: The New Order","PS4","2014","Shooter","Bethesda Softworks",1.55,79,8.1,"MachineGames"
"1210","Mafia II","X360","2010","Action","Take-Two Interactive",1.55,74,7.8,"2K Czech"
"1212","BioShock 2","PS3","2010","Shooter","Take-Two Interactive",1.54,88,8.2,"2K Marin"
"1213","Dark Cloud","PS2","2000","Role-Playing","Sony Computer Entertainment",1.54,80,8.2,"Level 5"
"1214","Warcraft III: The Frozen Throne","PC","2003","Strategy","Activision",1.54,88,9,"Blizzard Entertainment"
"1215","Active Life: Outdoor Challenge","Wii","2008","Sports","Atari",1.54,69,8.1,"h.a.n.d. Inc."
"1216","Tom Clancy's Ghost Recon Advanced Warfighter","X360","2006","Shooter","Ubisoft",1.54,90,8,"Ubisoft Paris"
"1218","MVP Baseball 2005","PS2","2005","Sports","Electronic Arts",1.54,87,8.6,"EA Sports"
"1220","Uncharted: Golden Abyss","PSV","2011","Shooter","Sony Computer Entertainment",1.53,80,7.4,"Naughty Dog, Sony Bend"
"1221","Go Vacation","Wii","2011","Misc","Namco Bandai Games",1.53,64,7.8,"Namco Bandai Games"
"1222","Pro Evolution Soccer 2013","PS3","2012","Sports","Konami Digital Entertainment",1.53,82,6.7,"Konami"
"1225","Dishonored","PS3","2012","Action","Bethesda Softworks",1.53,89,7.9,"Arkane Studios"
"1226","Mario Golf: Toadstool Tour","GC","2003","Sports","Nintendo",1.53,81,8,"Camelot Software Planning"
"1228","Call of Duty: Black Ops II","PC","2012","Shooter","Activision",1.53,74,4.2,"Treyarch"
"1229","Resident Evil: The Umbrella Chronicles","Wii","2007","Action","Capcom",1.52,75,7.6,"Cavia Inc."
"1231","The Simpsons Skateboarding","PS2","2002","Sports","Electronic Arts",1.52,38,5,"The Code Monkeys"
"1232","Donkey Kong Country: Tropical Freeze","WiiU","2014","Platform","Nintendo",1.52,83,8.9,"Retro Studios"
"1239","Fight Night Round 4","PS3","2009","Fighting","Electronic Arts",1.52,88,7.6,"EA Canada"
"1240","Super Monkey Ball 2","GC","2002","Puzzle","Atari",1.52,87,8.5,"Amusement Vision"
"1241","Pac-Man World 2","PS2","2002","Action","Namco Bandai Games",1.51,73,7.8,"Namco"
"1243","MySims Kingdom","Wii","2008","Simulation","Electronic Arts",1.51,76,8.1,"EA Redwood Shores"
"1244","Dead Space 2","X360","2011","Shooter","Electronic Arts",1.51,90,8.6,"Visceral Games"
"1250","The Simpsons Game","PS2","2007","Action","Electronic Arts",1.51,68,8.2,"Electronic Arts"
"1252","The Simpsons Game","DS","2007","Action","Electronic Arts",1.51,69,7.3,"Griptonite Games"
"1253","Football Manager 2012","PC","2011","Sports","Sega",1.51,84,8,"Sports Interactive"
"1254","Ni no Kuni: Wrath of the White Witch","PS3","2011","Role-Playing","Namco Bandai Games",1.51,85,8.6,"Level 5"
"1255","SoulCalibur II","GC","2003","Fighting","Namco Bandai Games",1.5,93,9.1,"Namco"
"1256","Call of Duty 3","PS3","2006","Shooter","Activision",1.5,80,6.9,"Treyarch"
"1257","Tokyo Xtreme Racer Zero","PS2","2000","Racing","Crave Entertainment",1.5,76,8.9,"Genki"
"1259","Red Faction II","PS2","2002","Shooter","THQ",1.5,84,8.3,"Volition Inc."
"1260","Madden NFL 2001","PS2","2000","Sports","Electronic Arts",1.5,91,7.7,"EA Sports"
"1265","Star Wars: The Force Unleashed II","PS3","2010","Action","LucasArts",1.5,63,6.8,"LucasArts"
"1267","Rock Band 2","PS3","2008","Misc","MTV Games",1.49,91,7.9,"Harmonix Music Systems"
"1268","Final Fantasy: Crystal Chronicles","GC","2003","Role-Playing","Nintendo",1.49,80,8.1,"Square Enix"
"1269","Medal of Honor: Frontline","XB","2002","Shooter","Electronic Arts",1.49,81,6.9,"EA LA"
"1270","Madden NFL 09","PS2","2008","Sports","Electronic Arts",1.49,67,7,"EA Tiburon"
"1271","Dead Rising 2","X360","2010","Action","Capcom",1.49,79,6.9,"Blue Castle Games"
"1274","Mafia II","PS3","2010","Action","Take-Two Interactive",1.49,75,7.7,"2K Czech"
"1275","Batman: Arkham Knight","XOne","2015","Action","Warner Bros. Interactive Entertainment",1.49,85,6.6,"Rocksteady Studios"
"1277","Dirge of Cerberus: Final Fantasy VII","PS2","2006","Shooter","Square Enix",1.48,57,6.9,"Square Enix"
"1281","Sonic Rivals 2","PSP","2007","Racing","Sega",1.48,60,7.8,"Backbone Entertainment"
"1283","Resistance 3","PS3","2011","Shooter","Sony Computer Entertainment",1.48,83,7.8,"Insomniac Games"
"1284","Drawn To Life: SpongeBob SquarePants Edition","DS","2008","Adventure","THQ",1.48,68,5.5,"Altron"
"1286","007: Quantum of Solace","X360","2008","Action","Activision",1.48,65,7.1,"Treyarch"
"1287","Major League Baseball 2K5","PS2","2005","Sports","Take-Two Interactive",1.48,82,7.4,"Kush Games"
"1288","Fight Night 2004","PS2","2004","Fighting","Electronic Arts",1.48,85,9,"EA Sports"
"1289","LEGO Star Wars III: The Clone Wars","X360","2011","Action","LucasArts",1.48,75,7.8,"Traveller's Tales"
"1290","Tom Clancy's Splinter Cell: Pandora Tomorrow","XB","2004","Action","Ubisoft",1.48,93,8.6,"Ubisoft Shanghai"
"1295","Call of Duty Black Ops: Declassified","PSV","2012","Action","Activision",1.47,33,4.8,"Nihilistic"
"1296","Tom Clancy's Ghost Recon: Future Soldier","X360","2012","Shooter","Ubisoft",1.47,79,7.2,"Ubisoft Paris"
"1297","Fight Night Round 3","X360","2006","Fighting","Electronic Arts",1.47,86,8.8,"EA Chicago"
"1298","Xenogears","PS","1998","Role-Playing","SquareSoft",1.46,84,8.4,"SquareSoft"
"1300","Super Scribblenauts","DS","2010","Puzzle","Warner Bros. Interactive Entertainment",1.46,81,8.2,"5TH Cell"
"1304","Super Monkey Ball","GC","2001","Puzzle","Atari",1.46,87,7.9,"Amusement Vision"
"1305","SoulCalibur IV","PS3","2008","Fighting","Ubisoft",1.46,85,7.9,"Namco"
"1309","Mario Superstar Baseball","GC","2005","Sports","Nintendo",1.46,76,8.6,"Namco"
"1312","Battlefield: Bad Company","X360","2008","Shooter","Electronic Arts",1.46,83,7.7,"EA DICE"
"1313","Homefront","X360","2011","Shooter","THQ",1.45,70,6,"Kaos Studios"
"1314","Onimusha 3: Demon Siege","PS2","2004","Action","Capcom",1.45,85,8.6,"Capcom"
"1316","Red Dead Revolver","PS2","2004","Shooter","Take-Two Interactive",1.45,73,7.8,"Rockstar San Diego"
"1317","Resident Evil: Outbreak","PS2","2003","Action","Capcom",1.45,71,8.3,"Capcom"
"1323","Mass Effect 2","PS3","2011","Role-Playing","Electronic Arts",1.45,94,8.5,"BioWare"
"1324","LEGO Battles: Ninjago","DS","2011","Strategy","Warner Bros. Interactive Entertainment",1.45,59,6.9,"Hellbent Games"
"1326","NBA 2K14","PS4","2013","Sports","Take-Two Interactive",1.45,85,6.5,"Visual Concepts"
"1328","SingStar Pop","PS2","2007","Misc","Sony Computer Entertainment",1.44,73,7.5,"SCEE London Studio"
"1331","Disney Infinity","X360","2013","Action","Disney Interactive Studios",1.44,74,6.5,"Avalanche Software"
"1332","My Word Coach","DS","2007","Misc","Ubisoft",1.44,71,6.8,"Ubisoft"
"1333","Tiger Woods PGA Tour 2005","PS2","2004","Sports","Electronic Arts",1.44,88,8.2,"EA Sports"
"1334","NCAA Football 2003","PS2","2002","Sports","Electronic Arts",1.44,91,8.6,"EA Sports"
"1335","Star Wars: The Force Unleashed II","X360","2010","Action","LucasArts",1.43,61,5.7,"LucasArts"
"1336","Frogger 2: Swampy's Revenge","PS","1999","Action","Hasbro Interactive",1.43,77,7.9,"Blitz Games"
"1337","WWE SmackDown vs Raw 2008","X360","2007","Fighting","THQ",1.43,71,6.8,"Yuke's"
"1338","Kinect Joy Ride","X360","2010","Racing","Microsoft Game Studios",1.43,52,5,"BigPark"
"1339","Smarty Pants","Wii","2007","Misc","Electronic Arts",1.43,65,7.6,"Planet Moon Studios"
"1343","Classic NES Series: Super Mario Bros.","GBA","2004","Platform","Nintendo",1.43,84,8.6,"Nintendo"
"1345","Anno 2070","PC","2011","Strategy","Ubisoft",1.43,83,7,"Blue Byte, Related Designs"
"1346","Hasbro Family Game Night","Wii","2008","Puzzle","Electronic Arts",1.43,63,7.5,"EA Bright Light"
"1347","Sonic Rivals","PSP","2006","Racing","Sega",1.42,64,7.8,"Backbone Entertainment"
"1348","BioShock","PS3","2008","Shooter","Take-Two Interactive",1.42,94,8.7,"Digital Extremes, 2K Marin"
"1349","Mass Effect 3","PS3","2012","Role-Playing","Electronic Arts",1.42,93,5.5,"BioWare"
"1350","Cabela's Big Game Hunter","PS2","2002","Sports","Activision",1.42,59,7.8,"Sand Grain Studios"
"1352","SimCity (2013)","PC","2013","Simulation","Electronic Arts",1.42,64,2.2,"Maxis"
"1353","The Legend of Zelda: The Minish Cap","GBA","2004","Action","Nintendo",1.42,89,9,"Flagship"
"1354","NFL Street","PS2","2004","Sports","Electronic Arts",1.42,80,8.9,"EA Tiburon"
"1357","Dead Space 2","PS3","2011","Shooter","Electronic Arts",1.42,89,8.4,"Visceral Games"
"1358","Tiger Woods PGA Tour 09 All-Play","Wii","2008","Sports","Electronic Arts",1.42,81,8.7,"EA Tiburon"
"1359","Metal Gear Rising: Revengeance","PS3","2013","Action","Konami Digital Entertainment",1.42,80,7.9,"PlatinumGames"
"1361","Rayman Raving Rabbids","Wii","2006","Misc","Ubisoft",1.42,76,7.9,"Ubisoft Montpellier"
"1362","Dragon Quest Monsters: Joker 2","DS","2010","Role-Playing","Square Enix",1.41,77,7.3,"TOSE"
"1363","UFC Undisputed 2010","PS3","2010","Fighting","THQ",1.41,85,7.2,"Yuke's"
"1365","Medal of Honor: Warfighter","PS3","2012","Action","Electronic Arts",1.41,55,6,"Danger Close"
"1367","Sonic's Ultimate Genesis Collection","X360","2009","Misc","Sega",1.41,79,8.5,"Backbone Entertainment"
"1372","Diablo III","X360","2013","Role-Playing","Activision",1.41,87,6.6,"Blizzard Entertainment"
"1373","Twisted Metal: Black","PS2","2001","Racing","Sony Computer Entertainment",1.41,91,8.4,"Incognito Inc."
"1374","NASCAR 2005: Chase for the Cup","PS2","2004","Racing","Electronic Arts",1.41,87,8.4,"EA Tiburon"
"1375","Fight Night Round 4","X360","2009","Fighting","Electronic Arts",1.4,87,8.1,"EA Canada"
"1376","Spider-Man: The Movie","XB","2002","Action","Activision",1.4,79,7.5,"Treyarch"
"1377","LEGO Star Wars II: The Original Trilogy","PSP","2006","Action","LucasArts",1.4,83,8.6,"Traveller's Tales"
"1378","Dead Space","X360","2008","Action","Electronic Arts",1.4,89,8.7,"EA Redwood Shores"
"1381","LEGO Indiana Jones 2: The Adventure Continues","Wii","2009","Action","Activision",1.4,72,6.1,"Traveller's Tales"
"1382","Ridge Racer","PSP","2004","Racing","Sony Computer Entertainment",1.4,88,8.2,"Namco"
"1383","Sonic Advance 3","GBA","2004","Platform","THQ",1.4,79,8.4,"Dimps Corporation"
"1386","Colin McRae Rally 3","PS2","2002","Racing","Codemasters",1.4,86,7.7,"Codemasters"
"1387","Forza Horizon 2","XOne","2014","Racing","Microsoft Game Studios",1.4,86,8.2,"Playground Games"
"1388","Madden NFL 2002","PS","2001","Sports","Electronic Arts",1.39,88,8,"EA Sports"
"1392","Dynasty Warriors 5","PS2","2005","Action","Tecmo Koei",1.39,69,8.8,"Omega Force"
"1394","Injustice: Gods Among Us","X360","2013","Fighting","Warner Bros. Interactive Entertainment",1.38,81,7.9,"NetherRealm Studios"
"1395","Far Cry 2","PS3","2008","Action","Ubisoft",1.38,85,6.4,"Ubisoft Montreal"
"1396","Yoshi's New Island","3DS","2014","Platform","Nintendo",1.38,64,6.1,"Arzest"
"1398","True Crime: Streets of LA","XB","2003","Action","Activision",1.38,77,7.8,"Luxoflux, Inc."
"1401","Ryse: Son of Rome","XOne","2013","Action","Microsoft Game Studios",1.38,60,6.1,"Crytek"
"1402","Mortal Kombat X","XOne","2015","Fighting","Warner Bros. Interactive Entertainment",1.38,86,7.3,"Warner Bros. Interactive Entertainment, NetherRealm Studios"
"1404","Rise of the Tomb Raider","XOne","2015","Adventure","Square Enix",1.38,86,8,"Crystal Dynamics"
"1406","Sonic Generations","X360","2011","Platform","Sega",1.38,77,8.3,"Sega, Sonic Team"
"1407","Dave Mirra Freestyle BMX 2","PS2","2001","Sports","Acclaim Entertainment",1.38,81,8.1,"Z-Axis, Ltd."
"1408","Bakugan: Battle Brawlers","DS","2009","Action","Activision",1.38,60,6.7,"Now Production"
"1409","LEGO Indiana Jones: The Original Adventures","PS2","2008","Action","LucasArts",1.37,77,8.4,"Traveller's Tales"
"1410","Deus Ex: Human Revolution","X360","2011","Shooter","Square Enix",1.37,89,8.3,"Eidos Montreal"
"1412","Final Fantasy XII: Revenant Wings","DS","2007","Role-Playing","Square Enix",1.37,81,6.1,"Square Enix, Think and Feel"
"1413","Call of Duty: Black Ops","Wii","2010","Shooter","Activision",1.37,80,5.8,"Treyarch"
"1414","Deus Ex: Human Revolution","PS3","2011","Shooter","Square Enix",1.37,89,8.2,"Eidos Montreal"
"1415","Star Wars Knights of the Old Republic II: The Sith Lords","XB","2004","Role-Playing","Activision",1.37,86,8.6,"Obsidian Entertainment"
"1417","The Sims 2","PSP","2005","Simulation","Electronic Arts",1.37,65,6.9,"Maxis"
"1418","Dead Rising 2","PS3","2010","Action","Capcom",1.36,80,6.7,"Blue Castle Games"
"1419","Ridge Racer 7","PS3","2006","Racing","Namco Bandai Games",1.36,78,7.1,"Namco Bandai Games"
"1420","Tom Clancy's Ghost Recon 2","XB","2004","Shooter","Ubisoft",1.36,80,8.9,"Red Storm Entertainment"
"1421","Need for Speed: The Run","X360","2011","Action","Electronic Arts",1.36,68,6,"Black Box"
"1422","Crash Bandicoot 2: N-Tranced","GBA","2003","Platform","Vivendi Games",1.36,75,7.8,"Vicarious Visions"
"1423","Titanfall","X360","2014","Shooter","Electronic Arts",1.36,83,5.9,"Bluepoint Games"
"1428","Dead to Rights","PS2","2002","Shooter","Electronic Arts",1.36,73,8.9,"Namco"
"1429","WWE '13","PS3","2012","Action","THQ",1.35,76,8.1,"THQ"
"1431","Hasbro Family Game Night 2","Wii","2009","Misc","Electronic Arts",1.35,63,6.3,"Electronic Arts"
"1433","Gardening Mama","DS","2009","Puzzle","505 Games",1.35,60,9.3,"Taito Corporation"
"1434","Burnout Paradise","X360","2008","Racing","Electronic Arts",1.35,88,6.9,"Criterion Games"
"1435","Middle-Earth: Shadow of Mordor","XOne","2014","Action","Warner Bros. Interactive Entertainment",1.35,87,8,"Monolith Productions"
"1436","MotorStorm: Pacific Rift","PS3","2008","Racing","Sony Computer Entertainment",1.35,82,8,"Evolution Studios"
"1437","Samurai Warriors","PS2","2004","Action","Electronic Arts",1.35,73,8.7,"Omega Force"
"1438","Battlefield 4","PC","2013","Shooter","Electronic Arts",1.35,81,6,"EA DICE"
"1440","Gears of War 4","XOne","2016","Shooter","Microsoft Game Studios",1.35,84,6.2,"The Coalition"
"1443","FIFA Soccer 08","PSP","2007","Sports","Electronic Arts",1.35,79,7.4,"EA Canada"
"1444","FIFA Soccer 09","PSP","2008","Sports","Electronic Arts",1.35,84,8.9,"EA Canada"
"1446","FIFA Soccer 08","X360","2007","Sports","Electronic Arts",1.35,82,7.9,"EA Canada"
"1447","Test Drive","PS2","2002","Racing","Atari",1.34,73,7.4,"Pitbull Syndicate"
"1448","Devil May Cry 4","X360","2008","Action","Capcom",1.34,84,8,"Capcom"
"1449","Tom Clancy's Rainbow Six: Vegas 2","PS3","2008","Shooter","Ubisoft",1.34,81,7.9,"Ubisoft Montreal"
"1450","Metroid: Other M","Wii","2010","Action","Nintendo",1.34,79,6.5,"Team Ninja"
"1451","Crysis 2","X360","2011","Action","Electronic Arts",1.34,84,7.5,"Crytek"
"1452","Chrono Trigger","DS","2008","Role-Playing","Square Enix",1.34,92,8.9,"TOSE"
"1453","Marvel vs. Capcom 3: Fate of Two Worlds","PS3","2011","Fighting","Capcom",1.34,84,7.3,"Capcom"
"1455","Doom 3","XB","2005","Shooter","Activision",1.34,88,7.4,"Vicarious Visions"
"1456","Tom Clancy's Rainbow Six: Siege","XOne","2015","Shooter","Ubisoft",1.34,74,6.9,"Ubisoft Montreal"
"1457","F1 2010","PS3","2010","Racing","Codemasters",1.34,84,7.8,"Codemasters Birmingham"
"1458","Monster Hunter Freedom","PSP","2005","Role-Playing","Capcom",1.34,71,8.6,"Capcom"
"1459","Donkey Kong Jungle Beat","GC","2004","Platform","Nintendo",1.34,80,8.3,"Nintendo"
"1460","Need for Speed Carbon","PS2","2006","Racing","Electronic Arts",1.34,74,8.4,"EA Canada"
"1461","Lost Planet: Extreme Condition","X360","2006","Shooter","Capcom",1.34,79,7.1,"Capcom"
"1464","Max Payne 2: The Fall of Max Payne","PS2","2003","Shooter","Take-Two Interactive",1.34,73,8.2,"Rockstar Vienna"
"1465","Battlefield: Bad Company","PS3","2008","Shooter","Electronic Arts",1.34,84,8.1,"EA DICE"
"1466","MVP Baseball 2004","PS2","2004","Sports","Electronic Arts",1.34,90,8.6,"EA Sports"
"1469","Alan Wake","X360","2010","Action","Microsoft Game Studios",1.33,83,8.1,"Remedy Entertainment"
"1475","Metroid Prime 2: Echoes","GC","2004","Shooter","Nintendo",1.33,92,8.8,"Retro Studios"
"1477","Corvette","PS2","2004","Racing","TDK Mediactive",1.33,57,6.5,"Steel Monkeys"
"1478","WWE SmackDown vs Raw 2008","PS3","2007","Fighting","THQ",1.33,74,7.3,"Yuke's"
"1479","Skylanders SWAP Force","X360","2013","Platform","Activision",1.32,83,5.7,"Vicarious Visions"
"1480","Grand Theft Auto: Chinatown Wars","DS","2009","Action","Take-Two Interactive",1.32,93,8.3,"Rockstar Leeds"
"1481","UFC Undisputed 2010","X360","2010","Fighting","THQ",1.32,84,6.7,"Yuke's"
"1482","World of Warcraft: Wrath of the Lich King","PC","2008","Role-Playing","Activision",1.32,91,7.5,"Blizzard Entertainment"
"1485","NFL 2K3","PS2","2002","Sports","Atari",1.32,93,7.4,"Visual Concepts"
"1486","Assassin's Creed III: Liberation","PSV","2012","Action","Ubisoft",1.32,70,7.2,"Ubisoft"
"1490","Your Shape: Fitness Evolved","X360","2010","Sports","Ubisoft",1.32,73,7.5,"Ubisoft Montreal"
"1491","Need for Speed Underground Rivals","PSP","2005","Racing","Electronic Arts",1.32,74,8.5,"Team Fusion"
"1497","Rage","PS3","2011","Shooter","Bethesda Softworks",1.31,81,6.2,"id Software"
"1498","LEGO Harry Potter: Years 1-4","PS3","2010","Action","Warner Bros. Interactive Entertainment",1.31,79,8,"Traveller's Tales"
"1499","Madagascar","PS2","2005","Platform","Activision",1.31,69,7.4,"Toys for Bob"
"1500","The Witcher 3: Wild Hunt","XOne","2015","Role-Playing","Namco Bandai Games",1.31,91,9.2,"CD Projekt Red Studio"
"1503","Turok: Evolution","PS2","2002","Shooter","Acclaim Entertainment",1.31,61,7.3,"Acclaim"
"1504","[Prototype]","X360","2009","Action","Activision",1.31,78,7.8,"Radical Entertainment"
"1505","Burnout 3: Takedown","XB","2004","Racing","Electronic Arts",1.31,94,7.2,"Criterion Games"
"1506","The Beatles: Rock Band","X360","2009","Misc","MTV Games",1.3,89,8.6,"Harmonix Music Systems"
"1509","NBA Live 07","PS2","2006","Sports","Electronic Arts",1.3,63,6,"EA Sports"
"1510","Yoshi's Woolly World","WiiU","2015","Platform","Nintendo",1.3,78,8.5,"Good-Feel"
"1511","Skylanders Giants","X360","2012","Action","Activision",1.3,80,6.6,"Toys for Bob"
"1512","SingStar '80s","PS2","2005","Misc","Sony Computer Entertainment",1.3,78,8.3,"SCEA"
"1515","Tekken 6","X360","2009","Fighting","Namco Bandai Games",1.3,80,7,"Namco Bandai Games America, Namco Bandai Games"
"1516","Assassin's Creed Syndicate","XOne","2015","Action","Ubisoft",1.3,78,6.1,"Ubisoft Quebec"
"1519","Pokemon Ranger: Guardian Signs","DS","2010","Role-Playing","Nintendo",1.29,68,8.2,"Creatures Inc."
"1520","LEGO Batman: The Videogame","PS3","2008","Action","Warner Bros. Interactive Entertainment",1.29,75,7.7,"Traveller's Tales"
"1524","Crysis 2","PS3","2011","Action","Electronic Arts",1.29,85,7.2,"Crytek"
"1525","Pirates of the Caribbean: The Curse of the Black Pearl","GBA","2003","Platform","TDK Mediactive",1.29,49,6.2,"Pocket Studios"
"1527","Namco Museum DS","DS","2007","Misc","Atari",1.29,67,5.9,"M2"
"1528","Deal or No Deal","Wii","2009","Misc","Zoo Games",1.29,56,5,"Artefacts Studio"
"1529","Transformers","PS2","2004","Shooter","Atari",1.29,75,8.6,"Melbourne House"
"1530","Dying Light","XOne","2015","Action","Warner Bros. Interactive Entertainment",1.29,74,7.8,"Techland"
"1531","Fallout 4","PC","2015","Role-Playing","Bethesda Softworks",1.29,84,5.4,"Bethesda Game Studios"
"1532","Sonic Colors","DS","2010","Platform","Sega",1.29,79,7.9,"Dimps Corporation"
"1533","Assassin's Creed: Rogue","PS3","2014","Action","Ubisoft",1.29,72,7.5,"Ubisoft Sofia"
"1534","EA Playground","Wii","2007","Sports","Electronic Arts",1.29,66,7.6,"EA Canada"
"1537","The Elder Scrolls Online","XOne","2015","Role-Playing","Bethesda Softworks",1.28,77,8.4,"ZeniMax Media"
"1538","Champions of Norrath","PS2","2004","Role-Playing","Sony Online Entertainment",1.28,85,8.4,"Snowblind Studios"
"1539","LEGO Batman: The Videogame","PSP","N/A","Action","Warner Bros. Interactive Entertainment",1.28,73,7.4,"Traveller's Tales"
"1544","Manhunt","PS2","2003","Action","Take-Two Interactive",1.28,76,8.3,"Rockstar North"
"1545","Need for Speed Carbon","Wii","2006","Racing","Electronic Arts",1.28,67,7.3,"EA Canada"
"1546","Silent Hill 2","PS2","2001","Action","Konami Digital Entertainment",1.28,89,8.9,"KCET"
"1547","Castlevania: Symphony of the Night","PS","1997","Platform","Konami Digital Entertainment",1.27,93,9.4,"Konami"
"1548","Guitar Hero: Aerosmith","Wii","2008","Misc","Activision",1.27,73,7.2,"Vicarious Visions"
"1549","The LEGO Movie Videogame","X360","2014","Action","Warner Bros. Interactive Entertainment",1.27,69,7.2,"TT Games"
"1550","The Sims 2: Nightlife","PC","2005","Simulation","Electronic Arts",1.27,76,6.6,"Maxis"
"1551","Dark Souls II","PS3","2014","Role-Playing","Namco Bandai Games",1.27,91,8.1,"From Software"
"1552","Kid Icarus: Uprising","3DS","2012","Action","Nintendo",1.27,83,8.7,"Opus, Project Sora"
"1553","Pokemon Mystery Dungeon: Gates to Infinity","3DS","2012","Role-Playing","Nintendo",1.27,59,6.3,"Nintendo, Spike Chunsoft"
"1554","LEGO Batman: The Videogame","PS2","2008","Action","Warner Bros. Interactive Entertainment",1.27,77,8.9,"Traveller's Tales"
"1557","NBA 2K9","X360","2008","Sports","Take-Two Interactive",1.27,84,7.2,"Visual Concepts"
"1558","Tony Hawk's Underground","XB","2003","Sports","Activision",1.27,85,9.1,"Neversoft Entertainment"
"1560","Metal Gear Solid V: Ground Zeroes","PS4","2014","Action","Konami Digital Entertainment",1.27,75,6.2,"Kojima Productions"
"1562",".hack//Infection Part 1","PS2","2002","Role-Playing","Atari",1.27,75,8.5,"CyberConnect2"
"1563","Jillian Michaels' Fitness Ultimatum 2009","Wii","2008","Sports","Deep Silver",1.27,30,2,"3G Studios"
"1564","Valkyria Chronicles","PS3","2008","Role-Playing","Sega",1.27,86,8.6,"Sega"
"1565","WWE '12","X360","2011","Fighting","THQ",1.27,71,6.3,"Yuke's"
"1566","Sonic Adventure DX: Director's Cut","GC","2003","Platform","Sega",1.27,57,7.9,"Sonic Team"
"1569","WWE '13","X360","2012","Action","THQ",1.27,78,8,"THQ, Yuke's"
"1570","Final Fantasy X / X-2 HD Remaster","PS3","2013","Role-Playing","Square Enix",1.27,85,8.5,"Virtuos"
"1571","Need for Speed Rivals","PS3","2013","Racing","Electronic Arts",1.27,80,4.9,"Ghost Games"
"1572","EA Sports Active 2","Wii","2010","Sports","Electronic Arts",1.26,79,8.1,"EA Canada"
"1573","Rockstar Games presents Table Tennis","Wii","2007","Sports","Take-Two Interactive",1.26,68,5.8,"Rockstar San Diego"
"1575","Football Manager 2011","PC","2010","Sports","Sega",1.26,85,8.4,"Sports Interactive"
"1579","Tamagotchi Connection: Corner Shop","DS","2005","Simulation","Atari",1.26,59,7.7,"NanaOn-Sha"
"1580","Tomb Raider: Underworld","PS3","2008","Action","Eidos Interactive",1.26,75,7.2,"Nixxes Software"
"1582","LEGO Battles","DS","2009","Strategy","Warner Bros. Interactive Entertainment",1.25,65,8.9,"Hellbent Games"
"1583","NBA Live 2001","PS","2000","Sports","Electronic Arts",1.25,86,8,"EA Sports"
"1584","Saints Row IV","PS3","2013","Action","Deep Silver",1.25,76,6.3,"Volition Inc."
"1585","Star Wars: The Force Unleashed","PS2","2008","Action","LucasArts",1.25,68,7.4,"Krome Studios"
"1588","SOCOM: U.S. Navy SEALs Confrontation","PS3","2008","Shooter","Sony Computer Entertainment",1.25,63,6.9,"Slant Six"
"1592","Need for Speed: Most Wanted","X360","2005","Racing","Electronic Arts",1.25,83,8.5,"EA Canada"
"1593","Pokemon XD: Gale of Darkness","GC","2005","Role-Playing","Nintendo",1.25,64,8.3,"Genius Sonority Inc."
"1594","Black","PS2","2006","Shooter","Electronic Arts",1.25,79,8.4,"Criterion Games"
"1595","Tom Clancy's Rainbow Six: Vegas","PS3","2007","Shooter","Ubisoft",1.25,86,7.6,"Ubisoft Montreal"
"1596","LittleBigPlanet PS Vita","PSV","2012","Platform","Sony Computer Entertainment",1.25,88,8.6,"Tarsier Studios, Double Eleven"
"1597","Pokemon Super Mystery Dungeon","3DS","2015","Role-Playing","Nintendo",1.25,69,8.8,"Spike Chunsoft Co. Ltd., Spike Chunsoft"
"1598","RollerCoaster Tycoon 2","PC","2002","Strategy","Atari",1.25,74,8.5,"Chris Sawyer"
"1600","Lara Croft Tomb Raider: The Angel of Darkness","PS2","2003","Action","Eidos Interactive",1.25,52,6.2,"Core Design Ltd."
"1601","Tom Clancy's Splinter Cell: Pandora Tomorrow","PS2","2004","Action","Ubisoft",1.25,87,8.6,"Ubisoft Shanghai"
"1603","Ratchet: Deadlocked","PS2","2005","Shooter","Sony Computer Entertainment",1.24,81,8.9,"Insomniac Games"
"1604","Winter Sports: The Ultimate Challenge","Wii","2007","Sports","RTL",1.24,52,6.8,"49Games"
"1605","Baldur's Gate: Dark Alliance","PS2","2001","Role-Playing","Virgin Interactive",1.24,87,8.3,"Snowblind Studios"
"1606","Oddworld: Abe's Oddysee","PS","1997","Platform","GT Interactive",1.24,85,9,"Oddworld Inhabitants"
"1607","Ridge Racer V","PS2","2000","Action","Namco Bandai Games",1.24,78,7.7,"Namco"
"1608","WWE SmackDown vs. Raw 2009","PS2","2008","Fighting","THQ",1.24,78,6.9,"Yuke's"
"1610","LEGO Harry Potter: Years 5-7","Wii","N/A","Action","Warner Bros. Interactive Entertainment",1.24,76,7.8,"Traveller's Tales"
"1611","Star Wars Episode III: Revenge of the Sith","XB","2005","Action","Activision",1.24,61,8.1,"Double Helix Games"
"1612","[Prototype]","PS3","2009","Action","Activision",1.24,79,7.7,"Radical Entertainment"
"1614","FIFA Street","PS3","2012","Sports","Electronic Arts",1.23,76,6.4,"EA Sports"
"1615","Frogger: The Great Quest","PS2","2001","Platform","Konami Digital Entertainment",1.23,32,4.6,"Konami"
"1616","Madden NFL 17","XOne","2016","Sports","Electronic Arts",1.23,83,5.9,"EA Sports"
"1617","Ninja Gaiden","XB","2004","Action","Microsoft Game Studios",1.23,91,8.8,"Team Ninja"
